Nr	Enhet	Kurskod	Version	Faststalld	benamning	Enhetsnamn	creator
204	441	BI0469	1	2001-10-23	Växtproduktionslära	Institutionen för ekologi och växtproduktionslära	evp
205	480	BI0470	1	2001-10-16	Tillämpad växtfysiologi (produktionsfysiologi)	Institutionen för växtbiologi	vbsg
206	441	BI0471	1	2001-10-16	Växtproduktionsekologi	Institutionen för ekologi och växtproduktionslära	evp
207	670	BI0472	1	2001-10-31	Bioinformatik	Institutionen för husdjursgenetik	hgen
208	390	BI0473	1	2001-10-31	Molekylär evolution	Institutionen för skoglig mykologi och växtpatologi	mykopat
209	660	BI0474	1	2001-03-07	Yttre växtfaktorer	Institutionen för växtvetenskap	unk
210	660	BI0475	1	2001-03-07	Växternas fysiologi och kemi	Institutionen för växtvetenskap	unk
211	410	BI0476	1	2002-01-17	Fältkurs i tropisk ekologi och miljövård	Institutionen för entomologi	entom
212	600	BI0477	1	2002-02-15	Lantbruk för uthållig produktion av livsmedel, rekreation och landskapsvärden	Institutionen för jordbrukets biosystem och teknologi	jbt
213	600	BI0482	1	2002-09-18	Teknik för biologisk produktion	Institutionen för jordbrukets biosystem och teknologi	jbt
214	540	BI0483	1	2002-03-15	Ekologisk produktion, norra Skandinavien	Institutionen för norrländsk jordbruksvetenskap	njv
215	560	BI0484	1	2002-09-30	Växtteknik	Institutionen för landskaps- och trädgårdsteknik	lt
216	560	BI0485	1	2002-09-18	Miljöfrågeställningar vid hortikulturell produktion	Institutionen för landskaps- och trädgårdsteknik	lt
217	660	BI0486	1	2002-09-18	Grundläggande hortikulturell produktionsfysiologi	Institutionen för växtvetenskap	unk
218	660	BI0487	1	2002-09-18	Tillämpad produktionsfysiologi	Institutionen för växtvetenskap	unk
219	660	BI0488	1	2002-09-18	Trädgårdsprodukter efterskördshantering och användningsomr	Institutionen för växtvetenskap	unk
220	631	BI0489	1	2002-09-18	Växtförädling, genetiska resurser och bioteknik	Institutionen för växtförädling och bioteknik	unk
221	660	BI0490	1	2002-09-18	Kulturväxternas ursprung och evolution	Institutionen för växtvetenskap	unk
222	415	BI0491	1	2002-12-11	Ekologisk botanik, grundkurs	Institutionen för ekologi	ekol
223	633	BI0492	1	2003-04-15	Bachelorprojekt i trädgårdsvetenskap	Hortikultur	ltv
224	560	BI0494	1	2003-06-24	Hortikultur	Institutionen för landskaps- och trädgårdsteknik	lt
225	660	BI0495	1	2003-06-24	Växternas fysiologi och kemi	Institutionen för växtvetenskap	unk
226	410	BI0496	1	2003-08-26	Biologi med ekologi och etologi	Institutionen för entomologi	entom
227	633	BI0497	1	2003-10-02	Ekologisk odling i jordbruk och trädgård	Hortikultur	ltv
228	480	BI0498	1	2003-09-10	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
229	480	BI0499	1	2003-09-10	Växtfysiologi, grundkurs	Institutionen för växtbiologi	vbsg
230	660	BI0500	1	2003-10-02	Biologi för trädgårdsingenjörer	Institutionen för växtvetenskap	unk
231	633	BI0501	1	2003-10-02	Odling av trädgårdskulturer	Hortikultur	ltv
232	660	BI0502	1	2003-10-15	Ekologi, markbiologi och miljöskydd	Institutionen för växtvetenskap	unk
233	660	BI0503	1	2003-10-15	Systematisk botanik, genetik och förädling	Institutionen för växtvetenskap	unk
234	660	BI0504	1	2003-10-15	Yttre växtfaktorer	Institutionen för växtvetenskap	unk
235	480	BI0505	1	2003-10-20	Genteknik	Institutionen för växtbiologi	vbsg
236	480	BI0506	1	2003-10-20	Växtbioteknik och funktionell genomik	Institutionen för växtbiologi	vbsg
237	480	BI0507	1	2003-10-20	Växtmolekylärbiologi	Institutionen för växtbiologi	vbsg
238	480	BI0508	1	2003-10-09	Allmän och molekylär genetik	Institutionen för växtbiologi	vbsg
239	480	BI0509	1	2003-10-09	Cellbiologi	Institutionen för växtbiologi	vbsg
240	480	BI0510	1	2003-10-09	Växtförädling	Institutionen för växtbiologi	vbsg
241	480	BI0511	1	2003-10-20	Cellbiologi	Institutionen för växtbiologi	vbsg
242	480	BI0512	1	2003-10-20	Cellbiologi	Institutionen för växtbiologi	vbsg
243	480	BI0513	1	2003-10-20	Geners uttryck och reglering i animalie-, svamp och växtceller	Institutionen för växtbiologi	vbsg
244	480	BI0514	1	2003-10-13	Växtfysiologi	Institutionen för växtbiologi	vbsg
245	660	BI0515	1	2003-10-15	Bekämpningsstrategier för skadegörare och ogräs i trädgårdskulturer	Institutionen för växtvetenskap	unk
246	632	BI0516	1	2003-10-15	Kemisk ekologi hos insekter	Institutionen för växtskyddsbiologi	ltv
247	660	BI0517	1	2003-10-15	Produktionssystem för växthus- och frilandsodling	Institutionen för växtvetenskap	unk
248	460	BI0518	1	2003-10-28	Cell-  och mikrobiologi	Institutionen för mikrobiologi	mikrob
249	660	BI0519	1	2003-10-15	Klimatstyrning inom hortikultur	Institutionen för växtvetenskap	unk
250	415	BI0520	1	2003-11-11	Ekologi	Institutionen för ekologi	ekol
251	220	BI0521	1	2004-04-06	Bruket av jord, skog och vatten i ett svenskt perspektiv	Institutionen för ekologi och miljövård	eom
252	880	BI0522	1	2003-12-10	Anestesiologi	Institutionen för husdjurens miljö och hälsa	hmh
253	880	BI0523	1	2003-12-10	Djurhållning - sällskapsdjur och sporthästar	Institutionen för husdjurens miljö och hälsa	hmh
254	880	BI0524	1	2003-12-10	Djursjukvårdens drift och planering	Institutionen för husdjurens miljö och hälsa	hmh
255	880	BI0525	1	2003-12-10	Etologi och genetik	Institutionen för husdjurens miljö och hälsa	hmh
256	880	BI0526	1	2003-12-10	Examensarbete och redovisning	Institutionen för husdjurens miljö och hälsa	hmh
257	880	BI0527	1	2003-12-10	Försöksdjurens biologi och handhavande	Institutionen för husdjurens miljö och hälsa	hmh
258	880	BI0528	1	2003-12-10	Husdjurens biologi	Institutionen för husdjurens miljö och hälsa	hmh
259	880	BI0529	1	2003-12-10	Laboratorieteknik	Institutionen för husdjurens miljö och hälsa	hmh
260	880	BI0530	1	2003-12-10	Näringslära	Institutionen för husdjurens miljö och hälsa	hmh
261	880	BI0531	1	2003-12-10	Radiologi	Institutionen för husdjurens miljö och hälsa	hmh
262	880	BI0532	1	2003-12-10	Rehabilitering	Institutionen för husdjurens miljö och hälsa	hmh
