Programkod	Programanmkod	Program	Läsår	Läsår_link0
LM004	81043.1516	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	15/16 	ramschema.cfm?programkod=LM004&selLasar=1516&sprak=sv&programanmkod=81043.1516
LM004	81043.1617	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	16/17 	ramschema.cfm?programkod=LM004&selLasar=1617&sprak=sv&programanmkod=81043.1617
LM004	81043.1718	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	17/18 	ramschema.cfm?programkod=LM004&selLasar=1718&sprak=sv&programanmkod=81043.1718
LM004	81043.1819	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	18/19 	ramschema.cfm?programkod=LM004&selLasar=1819&sprak=sv&programanmkod=81043.1819
LM004	81043.1920	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	19/20 	ramschema.cfm?programkod=LM004&selLasar=1920&sprak=sv&programanmkod=81043.1920
LM004	81043.2021	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	20/21 	ramschema.cfm?programkod=LM004&selLasar=2021&sprak=sv&programanmkod=81043.2021
LM004	81043.2122	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	21/22 	ramschema.cfm?programkod=LM004&selLasar=2122&sprak=sv&programanmkod=81043.2122
LM004	81043.2223	Hållbar stadsutveckling, ledning, organisering och förvaltning  - master	22/23 	ramschema.cfm?programkod=LM004&selLasar=2223&sprak=sv&programanmkod=81043.2223
LM005	81002.1011	Agroecology - Master´s Programme	10/11 	ramschema.cfm?programkod=LM005&selLasar=1011&sprak=sv&programanmkod=81002.1011
LM005	81002.1112	Agroecology - Master´s Programme	11/12 	ramschema.cfm?programkod=LM005&selLasar=1112&sprak=sv&programanmkod=81002.1112
LM005	81002.1213	Agroecology - Master´s Programme	12/13 	ramschema.cfm?programkod=LM005&selLasar=1213&sprak=sv&programanmkod=81002.1213
LM005	81002.1314	Agroecology - Master´s Programme	13/14 	ramschema.cfm?programkod=LM005&selLasar=1314&sprak=sv&programanmkod=81002.1314
LM005	81002.1415	Agroecology - Master´s Programme	14/15 	ramschema.cfm?programkod=LM005&selLasar=1415&sprak=sv&programanmkod=81002.1415
LM005	81002.1516	Agroecology - Master´s Programme	15/16 	ramschema.cfm?programkod=LM005&selLasar=1516&sprak=sv&programanmkod=81002.1516
LM005	81002.1617	Agroecology - Master´s Programme	16/17 	ramschema.cfm?programkod=LM005&selLasar=1617&sprak=sv&programanmkod=81002.1617
LM005	81002.1718	Agroecology - Master´s Programme	17/18 	ramschema.cfm?programkod=LM005&selLasar=1718&sprak=sv&programanmkod=81002.1718
LM005	81002.1819	Agroecology - Master´s Programme	18/19 	ramschema.cfm?programkod=LM005&selLasar=1819&sprak=sv&programanmkod=81002.1819
LM005	81002.1920	Agroecology - Master´s Programme	19/20 	ramschema.cfm?programkod=LM005&selLasar=1920&sprak=sv&programanmkod=81002.1920
LM005	81002.2021	Agroecology - Master´s Programme	20/21 	ramschema.cfm?programkod=LM005&selLasar=2021&sprak=sv&programanmkod=81002.2021
LM005	81002.2122	Agroecology - Master´s Programme	21/22 	ramschema.cfm?programkod=LM005&selLasar=2122&sprak=sv&programanmkod=81002.2122
LM005	81080.2223	Agroecology - Master´s Programme	22/23 	ramschema.cfm?programkod=LM005&selLasar=2223&sprak=sv&programanmkod=81080.2223
LM006	81001.1112	Landscape Architecture- Master´s Programme	11/12 	ramschema.cfm?programkod=LM006&selLasar=1112&sprak=sv&programanmkod=81001.1112
LM006	81046.1213	Landscape Architecture- Master´s Programme	12/13 	ramschema.cfm?programkod=LM006&selLasar=1213&sprak=sv&programanmkod=81046.1213
LM006	81046.1314	Landscape Architecture- Master´s Programme	13/14 	ramschema.cfm?programkod=LM006&selLasar=1314&sprak=sv&programanmkod=81046.1314
LM006	81046.1415	Landscape Architecture- Master´s Programme	14/15 	ramschema.cfm?programkod=LM006&selLasar=1415&sprak=sv&programanmkod=81046.1415
