Nr	Kurskod	Version	Kursplan sve	Kursplan sve_link0	Kursplan eng	Kursplan eng_link0	Json	Json_link0
57	BI0210	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0210&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0210&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0210&ver=1&sprak=sv
58	BI0212	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0212&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0212&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0212&ver=1&sprak=sv
59	BI0213	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0213&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0213&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0213&ver=1&sprak=sv
60	BI0216	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0216&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0216&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0216&ver=1&sprak=sv
61	BI0217	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0217&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0217&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0217&ver=1&sprak=sv
62	BI0218	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0218&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0218&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0218&ver=1&sprak=sv
63	BI0219	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0219&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0219&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0219&ver=1&sprak=sv
64	BI0220	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0220&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0220&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0220&ver=1&sprak=sv
65	BI0221	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0221&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0221&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0221&ver=1&sprak=sv
66	BI0222	1	Kursplan sv	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0222&ver=1&sprak=sv	Kursplan en	https://slukurs.slu.se/arkivering/kursplan.cfm?Kurskod=BI0222&ver=1&sprak=en	Json	https://slukurs.slu.se/arkivering/kursplanJson.cfm?Kurskod=BI0222&ver=1&sprak=sv
